KEGG_Primary_class	KEGG_secondary_class	KEGG_pathway_ID	pathway_name	# genes in pathway	genes in chosen	# genes in chosen	genes in HSA_background	#genes in HSA_background	%(chosen/HSA_background)
Metabolism	Carbohydrate metabolism	hsa00562	  "Inositol phosphate metabolism - Homo sapiens (human)"	71	['hsa:5286', 'hsa:10423', 'hsa:54928', 'hsa:7167', 'hsa:200576', 'hsa:3613', 'hsa:5331', 'hsa:253430']	8	['hsa:3636', 'hsa:79837', 'hsa:138429', 'hsa:4534', 'hsa:5728', 'hsa:23236', 'hsa:27124', 'hsa:23396', 'hsa:5333', 'hsa:5336', 'hsa:3633', 'hsa:5290', 'hsa:4952', 'hsa:5335', 'hsa:64768', 'hsa:3612', 'hsa:3706', 'hsa:5330', 'hsa:51196', 'hsa:3613', 'hsa:5298', 'hsa:8394', 'hsa:5331', 'hsa:253430', 'hsa:3628', 'hsa:8867', 'hsa:113026', 'hsa:5286', 'hsa:55300', 'hsa:8871', 'hsa:55586', 'hsa:8897', 'hsa:3705', 'hsa:10423', 'hsa:54928', 'hsa:51477', 'hsa:9110', 'hsa:8821', 'hsa:7167', 'hsa:23007', 'hsa:200576', 'hsa:84812', 'hsa:4329']	43	18.6046511627907
Genetic Information Processing	Transcription	hsa03020	  "RNA polymerase - Homo sapiens (human)"	32	['hsa:55703', 'hsa:5431', 'hsa:55718', 'hsa:5435', 'hsa:171568', 'hsa:5438', 'hsa:221830', 'hsa:10622', 'hsa:10621', 'hsa:64425', 'hsa:11128', 'hsa:5437', 'hsa:5436', 'hsa:9533', 'hsa:5430', 'hsa:10623', 'hsa:51082']	17	['hsa:5437', 'hsa:5436', 'hsa:661', 'hsa:9533', 'hsa:5430', 'hsa:10623', 'hsa:51082', 'hsa:84265', 'hsa:84172', 'hsa:10621', 'hsa:64425', 'hsa:11128', 'hsa:51728', 'hsa:55703', 'hsa:5431', 'hsa:55718', 'hsa:30834', 'hsa:25885', 'hsa:5435', 'hsa:171568', 'hsa:5432', 'hsa:5438', 'hsa:221830', 'hsa:10622']	24	70.83333333333334
Metabolism	Metabolism of cofactors and vitamins	hsa00785	  "Lipoic acid metabolism - Homo sapiens (human)"	3	['hsa:11019']	1	['hsa:387787', 'hsa:11019']	2	50.0
Metabolism	Metabolism of cofactors and vitamins	hsa00760	  "Nicotinate and nicotinamide metabolism - Homo sapiens (human)"	29	['hsa:65220', 'hsa:115024']	2	['hsa:55191', 'hsa:51251', 'hsa:30833', 'hsa:4907', 'hsa:316', 'hsa:115024', 'hsa:93100', 'hsa:952', 'hsa:65220', 'hsa:54981', 'hsa:23530']	11	18.181818181818183
Organismal Systems	Endocrine system	hsa04910	  "Insulin signaling pathway - Homo sapiens (human)"	140	['hsa:5256', 'hsa:89801', 'hsa:2932', 'hsa:2872', 'hsa:5594', 'hsa:6655', 'hsa:5595', 'hsa:2002', 'hsa:5565', 'hsa:5894', 'hsa:5562', 'hsa:207', 'hsa:2885', 'hsa:122809', 'hsa:5613']	15	['hsa:3636', 'hsa:7248', 'hsa:5604', 'hsa:3667', 'hsa:2194', 'hsa:3643', 'hsa:5499', 'hsa:79660', 'hsa:6199', 'hsa:2885', 'hsa:51806', 'hsa:122809', 'hsa:23265', 'hsa:5613', 'hsa:8660', 'hsa:1978', 'hsa:5770', 'hsa:801', 'hsa:5500', 'hsa:5290', 'hsa:9322', 'hsa:2002', 'hsa:5605', 'hsa:25759', 'hsa:5565', 'hsa:5894', 'hsa:5562', 'hsa:2319', 'hsa:9470', 'hsa:6194', 'hsa:10211', 'hsa:5170', 'hsa:57521', 'hsa:207', 'hsa:5792', 'hsa:5295', 'hsa:2308', 'hsa:1977', 'hsa:5261', 'hsa:6464', 'hsa:10603', 'hsa:5584', 'hsa:572', 'hsa:5577', 'hsa:5256', 'hsa:89801', 'hsa:5601', 'hsa:5255', 'hsa:5590', 'hsa:6720', 'hsa:32', 'hsa:2932', 'hsa:10580', 'hsa:2872', 'hsa:1399', 'hsa:5594', 'hsa:6655', 'hsa:5836', 'hsa:5106', 'hsa:5834', 'hsa:5595', 'hsa:7249', 'hsa:3551', 'hsa:2997', 'hsa:6009', 'hsa:51422', 'hsa:2645', 'hsa:2889', 'hsa:6198', 'hsa:867', 'hsa:5564', 'hsa:5576', 'hsa:868', 'hsa:6654', 'hsa:10000', 'hsa:8503']	76	19.736842105263158
Human Diseases	Cancers	hsa05222	  "Small cell lung cancer - Homo sapiens (human)"	86	['hsa:7185', 'hsa:5915', 'hsa:1869', 'hsa:898', 'hsa:595', 'hsa:3911', 'hsa:7187', 'hsa:5925', 'hsa:7157', 'hsa:207', 'hsa:6256']	11	['hsa:5747', 'hsa:598', 'hsa:5728', 'hsa:3913', 'hsa:54205', 'hsa:5970', 'hsa:1163', 'hsa:7189', 'hsa:6256', 'hsa:1282', 'hsa:2272', 'hsa:3914', 'hsa:1147', 'hsa:5290', 'hsa:4149', 'hsa:7186', 'hsa:3911', 'hsa:7187', 'hsa:842', 'hsa:1284', 'hsa:3915', 'hsa:4609', 'hsa:3685', 'hsa:5925', 'hsa:7157', 'hsa:207', 'hsa:6502', 'hsa:5295', 'hsa:1030', 'hsa:3688', 'hsa:3675', 'hsa:3674', 'hsa:330', 'hsa:3909', 'hsa:7185', 'hsa:3918', 'hsa:9618', 'hsa:5915', 'hsa:7188', 'hsa:3912', 'hsa:4792', 'hsa:1869', 'hsa:284217', 'hsa:3551', 'hsa:898', 'hsa:1021', 'hsa:4790', 'hsa:595', 'hsa:329', 'hsa:1027', 'hsa:1871', 'hsa:3910', 'hsa:10000', 'hsa:8503', 'hsa:317']	55	20.0
Organismal Systems	Immune system	hsa04621	  "NOD-like receptor signaling pathway - Homo sapiens (human)"	57	['hsa:5594', 'hsa:5595', 'hsa:1432']	3	['hsa:10910', 'hsa:7184', 'hsa:5970', 'hsa:7189', 'hsa:5600', 'hsa:6300', 'hsa:1147', 'hsa:84674', 'hsa:6885', 'hsa:834', 'hsa:3606', 'hsa:257397', 'hsa:330', 'hsa:5601', 'hsa:841', 'hsa:3320', 'hsa:7205', 'hsa:3326', 'hsa:5594', 'hsa:10454', 'hsa:4792', 'hsa:5595', 'hsa:29108', 'hsa:8767', 'hsa:3551', 'hsa:22900', 'hsa:4790', 'hsa:329', 'hsa:1432', 'hsa:55914', 'hsa:7128']	31	9.67741935483871
Organismal Systems	Nervous system	hsa04725	  "Cholinergic synapse - Homo sapiens (human)"	113	['hsa:2534', 'hsa:10681', 'hsa:5594', 'hsa:5595', 'hsa:1385', 'hsa:468', 'hsa:109', 'hsa:207', 'hsa:148327', 'hsa:9586', 'hsa:5331', 'hsa:814', 'hsa:2353', 'hsa:5613']	14	['hsa:1128', 'hsa:5604', 'hsa:2353', 'hsa:112', 'hsa:23236', 'hsa:5613', 'hsa:56479', 'hsa:54331', 'hsa:5290', 'hsa:468', 'hsa:5330', 'hsa:109', 'hsa:207', 'hsa:148327', 'hsa:5295', 'hsa:9586', 'hsa:5331', 'hsa:3708', 'hsa:814', 'hsa:5578', 'hsa:90993', 'hsa:115', 'hsa:2534', 'hsa:10681', 'hsa:3785', 'hsa:43', 'hsa:5594', 'hsa:5595', 'hsa:10488', 'hsa:2771', 'hsa:10000', 'hsa:8503', 'hsa:1385']	33	42.42424242424242
Human Diseases	Cancers	hsa05231	  "Choline metabolism in cancer - Homo sapiens (human)"	101	['hsa:7454', 'hsa:5594', 'hsa:6655', 'hsa:5595', 'hsa:8936', 'hsa:56261', 'hsa:5894', 'hsa:207', 'hsa:8525', 'hsa:9162', 'hsa:5900', 'hsa:5130', 'hsa:2353', 'hsa:3725', 'hsa:2885', 'hsa:6667']	16	['hsa:7248', 'hsa:5604', 'hsa:2353', 'hsa:6199', 'hsa:3725', 'hsa:2885', 'hsa:6667', 'hsa:23396', 'hsa:1978', 'hsa:5154', 'hsa:5290', 'hsa:5335', 'hsa:56261', 'hsa:5605', 'hsa:5338', 'hsa:57153', 'hsa:5894', 'hsa:5879', 'hsa:5170', 'hsa:8612', 'hsa:207', 'hsa:8394', 'hsa:56034', 'hsa:5295', 'hsa:1956', 'hsa:8525', 'hsa:8526', 'hsa:5578', 'hsa:9162', 'hsa:10163', 'hsa:5900', 'hsa:5130', 'hsa:7454', 'hsa:5601', 'hsa:1608', 'hsa:5337', 'hsa:8527', 'hsa:5594', 'hsa:1120', 'hsa:6655', 'hsa:3091', 'hsa:160851', 'hsa:5595', 'hsa:7249', 'hsa:8976', 'hsa:6009', 'hsa:6198', 'hsa:8936', 'hsa:5159', 'hsa:6654', 'hsa:5321', 'hsa:10000', 'hsa:8503']	53	30.18867924528302
Organismal Systems	Digestive system	hsa04971	  "Gastric acid secretion - Homo sapiens (human)"	75	['hsa:2778', 'hsa:109', 'hsa:5331', 'hsa:5613']	4	['hsa:6522', 'hsa:112', 'hsa:51806', 'hsa:23236', 'hsa:5613', 'hsa:801', 'hsa:5330', 'hsa:109', 'hsa:5331', 'hsa:3708', 'hsa:5578', 'hsa:115', 'hsa:4638', 'hsa:60', 'hsa:2778', 'hsa:6548', 'hsa:7430', 'hsa:2771']	18	22.22222222222222
Organismal Systems	Nervous system	hsa04728	  "Dopaminergic synapse - Homo sapiens (human)"	131	['hsa:10681', 'hsa:2932', 'hsa:2778', 'hsa:1432', 'hsa:1386', 'hsa:1385', 'hsa:468', 'hsa:406', 'hsa:9575', 'hsa:207', 'hsa:148327', 'hsa:9586', 'hsa:5331', 'hsa:2353', 'hsa:5613', 'hsa:1388']	16	['hsa:3800', 'hsa:2353', 'hsa:3799', 'hsa:5499', 'hsa:51806', 'hsa:23236', 'hsa:5613', 'hsa:5600', 'hsa:54331', 'hsa:6300', 'hsa:801', 'hsa:5500', 'hsa:1388', 'hsa:468', 'hsa:1644', 'hsa:406', 'hsa:9575', 'hsa:5519', 'hsa:5330', 'hsa:5530', 'hsa:2774', 'hsa:207', 'hsa:6531', 'hsa:148327', 'hsa:9586', 'hsa:5331', 'hsa:3708', 'hsa:5529', 'hsa:5578', 'hsa:90993', 'hsa:5601', 'hsa:4129', 'hsa:10681', 'hsa:5523', 'hsa:5527', 'hsa:2932', 'hsa:2778', 'hsa:1312', 'hsa:5518', 'hsa:2931', 'hsa:10488', 'hsa:1432', 'hsa:5528', 'hsa:2771', 'hsa:1386', 'hsa:10000', 'hsa:1385', 'hsa:5533']	48	33.33333333333333
Human Diseases	Immune diseases	hsa05323	  "Rheumatoid arthritis - Homo sapiens (human)"	91	['hsa:7042', 'hsa:51382', 'hsa:7043', 'hsa:529', 'hsa:7099', 'hsa:9550', 'hsa:3689', 'hsa:2353', 'hsa:3725']	9	['hsa:3600', 'hsa:2353', 'hsa:3725', 'hsa:23545', 'hsa:9296', 'hsa:529', 'hsa:7099', 'hsa:9550', 'hsa:8792', 'hsa:526', 'hsa:3606', 'hsa:528', 'hsa:3689', 'hsa:535', 'hsa:51606', 'hsa:537', 'hsa:3383', 'hsa:7042', 'hsa:51382', 'hsa:54', 'hsa:7040', 'hsa:50617', 'hsa:10312', 'hsa:51561', 'hsa:7422', 'hsa:523', 'hsa:533', 'hsa:7043']	28	32.142857142857146
Environmental Information Processing	Signal transduction	hsa04070	  "Phosphatidylinositol signaling system - Homo sapiens (human)"	98	['hsa:5286', 'hsa:51447', 'hsa:10423', 'hsa:54928', 'hsa:200576', 'hsa:3613', 'hsa:8525', 'hsa:5331', 'hsa:253430', 'hsa:9162', 'hsa:1040']	11	['hsa:3636', 'hsa:79837', 'hsa:9677', 'hsa:4534', 'hsa:5728', 'hsa:9807', 'hsa:51806', 'hsa:23236', 'hsa:27124', 'hsa:23396', 'hsa:5333', 'hsa:5336', 'hsa:801', 'hsa:3633', 'hsa:5290', 'hsa:4952', 'hsa:5335', 'hsa:64768', 'hsa:3612', 'hsa:3706', 'hsa:5330', 'hsa:51196', 'hsa:3613', 'hsa:5298', 'hsa:8394', 'hsa:5295', 'hsa:23262', 'hsa:8525', 'hsa:5331', 'hsa:3708', 'hsa:253430', 'hsa:3628', 'hsa:8526', 'hsa:5578', 'hsa:9162', 'hsa:8867', 'hsa:113026', 'hsa:1040', 'hsa:5286', 'hsa:55300', 'hsa:1608', 'hsa:51447', 'hsa:8527', 'hsa:8871', 'hsa:8897', 'hsa:3705', 'hsa:8760', 'hsa:160851', 'hsa:10423', 'hsa:54928', 'hsa:9110', 'hsa:8821', 'hsa:200576', 'hsa:84812', 'hsa:8503']	55	20.0
Human Diseases	Infectious diseases	hsa05132	  "Salmonella infection - Homo sapiens (human)"	86	['hsa:7454', 'hsa:5586', 'hsa:5594', 'hsa:5595', 'hsa:10094', 'hsa:1432', 'hsa:8936', 'hsa:3929', 'hsa:7099', 'hsa:3460', 'hsa:2353', 'hsa:3725']	12	['hsa:2353', 'hsa:4615', 'hsa:5970', 'hsa:64837', 'hsa:3725', 'hsa:5600', 'hsa:79659', 'hsa:7100', 'hsa:6300', 'hsa:2316', 'hsa:1778', 'hsa:10552', 'hsa:5585', 'hsa:2318', 'hsa:3929', 'hsa:10095', 'hsa:4628', 'hsa:9475', 'hsa:1783', 'hsa:2317', 'hsa:5879', 'hsa:7099', 'hsa:89953', 'hsa:834', 'hsa:51143', 'hsa:3606', 'hsa:10163', 'hsa:3460', 'hsa:29941', 'hsa:10109', 'hsa:7454', 'hsa:3459', 'hsa:5601', 'hsa:5586', 'hsa:998', 'hsa:60', 'hsa:7879', 'hsa:1781', 'hsa:5594', 'hsa:4627', 'hsa:5595', 'hsa:29108', 'hsa:7082', 'hsa:147700', 'hsa:8976', 'hsa:5216', 'hsa:4790', 'hsa:10094', 'hsa:1432', 'hsa:8936']	50	24.0
Human Diseases	Neurodegenerative diseases	hsa05010	  "Alzheimer's disease - Homo sapiens (human)"	168	['hsa:3028', 'hsa:2932', 'hsa:5594', 'hsa:5595', 'hsa:9167', 'hsa:515', 'hsa:1327', 'hsa:5664', 'hsa:5331', 'hsa:8883', 'hsa:836', 'hsa:8851', 'hsa:4514']	13	['hsa:4724', 'hsa:836', 'hsa:27089', 'hsa:1020', 'hsa:1345', 'hsa:4712', 'hsa:322', 'hsa:10476', 'hsa:8772', 'hsa:7386', 'hsa:54205', 'hsa:4023', 'hsa:8851', 'hsa:51806', 'hsa:1537', 'hsa:23236', 'hsa:55967', 'hsa:51079', 'hsa:23621', 'hsa:487', 'hsa:801', 'hsa:4512', 'hsa:4514', 'hsa:4722', 'hsa:4509', 'hsa:539', 'hsa:4035', 'hsa:1340', 'hsa:1327', 'hsa:842', 'hsa:1329', 'hsa:4711', 'hsa:5330', 'hsa:102', 'hsa:5530', 'hsa:7385', 'hsa:351', 'hsa:5664', 'hsa:54539', 'hsa:4715', 'hsa:5331', 'hsa:3708', 'hsa:6868', 'hsa:498', 'hsa:522', 'hsa:4720', 'hsa:8883', 'hsa:4731', 'hsa:125965', 'hsa:23385', 'hsa:824', 'hsa:572', 'hsa:7384', 'hsa:823', 'hsa:637', 'hsa:4719', 'hsa:355', 'hsa:841', 'hsa:4710', 'hsa:7132', 'hsa:3028', 'hsa:6389', 'hsa:2932', 'hsa:5594', 'hsa:5595', 'hsa:4717', 'hsa:4728', 'hsa:506', 'hsa:2597', 'hsa:9167', 'hsa:515', 'hsa:6390', 'hsa:4702', 'hsa:3416', 'hsa:317', 'hsa:5533']	76	17.105263157894736
Organismal Systems	Excretory system	hsa04962	  "Vasopressin-regulated water reabsorption - Homo sapiens (human)"	45	['hsa:2778', 'hsa:1385', 'hsa:51164', 'hsa:109', 'hsa:148327', 'hsa:9586', 'hsa:5613']	7	['hsa:361', 'hsa:112', 'hsa:10540', 'hsa:5613', 'hsa:79659', 'hsa:1778', 'hsa:51164', 'hsa:1783', 'hsa:109', 'hsa:396', 'hsa:148327', 'hsa:51143', 'hsa:9586', 'hsa:90993', 'hsa:115', 'hsa:4905', 'hsa:1781', 'hsa:2778', 'hsa:6810', 'hsa:8766', 'hsa:10671', 'hsa:10488', 'hsa:5878', 'hsa:397', 'hsa:1385']	25	28.000000000000004
Organismal Systems	Endocrine system	hsa04921	  "Oxytocin signaling pathway - Homo sapiens (human)"	159	['hsa:4208', 'hsa:2778', 'hsa:5594', 'hsa:4773', 'hsa:5595', 'hsa:595', 'hsa:2002', 'hsa:5565', 'hsa:5894', 'hsa:5562', 'hsa:109', 'hsa:5331', 'hsa:814', 'hsa:783', 'hsa:2353', 'hsa:3725', 'hsa:5613']	17	['hsa:783', 'hsa:5598', 'hsa:1938', 'hsa:5604', 'hsa:4881', 'hsa:2353', 'hsa:5499', 'hsa:112', 'hsa:3725', 'hsa:51806', 'hsa:23236', 'hsa:57118', 'hsa:5613', 'hsa:140465', 'hsa:6714', 'hsa:6262', 'hsa:801', 'hsa:5500', 'hsa:5290', 'hsa:1026', 'hsa:2002', 'hsa:5605', 'hsa:5565', 'hsa:5894', 'hsa:5562', 'hsa:8536', 'hsa:9475', 'hsa:5607', 'hsa:5330', 'hsa:109', 'hsa:5530', 'hsa:7226', 'hsa:5295', 'hsa:1956', 'hsa:5331', 'hsa:3708', 'hsa:814', 'hsa:5578', 'hsa:55799', 'hsa:1827', 'hsa:4882', 'hsa:115', 'hsa:952', 'hsa:84254', 'hsa:4659', 'hsa:2983', 'hsa:4638', 'hsa:387', 'hsa:4775', 'hsa:60', 'hsa:4660', 'hsa:4208', 'hsa:2778', 'hsa:5594', 'hsa:4776', 'hsa:4773', 'hsa:5595', 'hsa:51422', 'hsa:595', 'hsa:10645', 'hsa:5564', 'hsa:2771', 'hsa:5321', 'hsa:5997', 'hsa:8503', 'hsa:5533']	66	25.757575757575758
Environmental Information Processing	Signal transduction	hsa04630	  "Jak-STAT signaling pathway - Homo sapiens (human)"	156	['hsa:1387', 'hsa:2033', 'hsa:6655', 'hsa:51588', 'hsa:595', 'hsa:5777', 'hsa:3977', 'hsa:894', 'hsa:3597', 'hsa:6775', 'hsa:207', 'hsa:3460', 'hsa:53833', 'hsa:23529', 'hsa:2885', 'hsa:122809']	16	['hsa:3600', 'hsa:161742', 'hsa:6778', 'hsa:6774', 'hsa:3575', 'hsa:3596', 'hsa:6773', 'hsa:9655', 'hsa:598', 'hsa:5617', 'hsa:53833', 'hsa:23529', 'hsa:2885', 'hsa:5781', 'hsa:122809', 'hsa:338376', 'hsa:163702', 'hsa:81848', 'hsa:200734', 'hsa:10379', 'hsa:1270', 'hsa:3588', 'hsa:5290', 'hsa:3598', 'hsa:3976', 'hsa:3597', 'hsa:3572', 'hsa:3601', 'hsa:10253', 'hsa:1442', 'hsa:8027', 'hsa:4609', 'hsa:3590', 'hsa:5292', 'hsa:6775', 'hsa:3454', 'hsa:207', 'hsa:5295', 'hsa:3455', 'hsa:3460', 'hsa:11009', 'hsa:1387', 'hsa:53832', 'hsa:3459', 'hsa:8554', 'hsa:3566', 'hsa:3595', 'hsa:2033', 'hsa:6655', 'hsa:50615', 'hsa:51588', 'hsa:7297', 'hsa:595', 'hsa:867', 'hsa:51561', 'hsa:5777', 'hsa:896', 'hsa:3977', 'hsa:868', 'hsa:1154', 'hsa:10254', 'hsa:6772', 'hsa:6654', 'hsa:10000', 'hsa:4352', 'hsa:8503', 'hsa:894']	67	23.88059701492537
Metabolism	Amino acid metabolism	hsa00350	  "Tyrosine metabolism - Homo sapiens (human)"	35	['hsa:221', 'hsa:1638', 'hsa:3081', 'hsa:3242', 'hsa:81889']	5	['hsa:81889', 'hsa:220', 'hsa:4282', 'hsa:1644', 'hsa:316', 'hsa:3242', 'hsa:221', 'hsa:4129', 'hsa:1638', 'hsa:1312', 'hsa:2954', 'hsa:7306', 'hsa:218', 'hsa:3081', 'hsa:7173']	15	33.33333333333333
Human Diseases	Cancers	hsa05214	  "Glioma - Homo sapiens (human)"	65	['hsa:5594', 'hsa:6655', 'hsa:1869', 'hsa:5595', 'hsa:595', 'hsa:5894', 'hsa:4193', 'hsa:5925', 'hsa:7157', 'hsa:207', 'hsa:1029', 'hsa:2885']	12	['hsa:5604', 'hsa:5728', 'hsa:2885', 'hsa:51806', 'hsa:5154', 'hsa:5336', 'hsa:801', 'hsa:5290', 'hsa:5335', 'hsa:1026', 'hsa:5605', 'hsa:25759', 'hsa:5894', 'hsa:4193', 'hsa:5925', 'hsa:3480', 'hsa:7157', 'hsa:207', 'hsa:5295', 'hsa:1956', 'hsa:1029', 'hsa:5578', 'hsa:6464', 'hsa:7039', 'hsa:5594', 'hsa:6655', 'hsa:1869', 'hsa:5595', 'hsa:1021', 'hsa:595', 'hsa:1871', 'hsa:5159', 'hsa:6654', 'hsa:10000', 'hsa:8503']	35	34.285714285714285
Environmental Information Processing	Signal transduction	hsa04151	  "PI3K-Akt signaling pathway - Homo sapiens (human)"	347	['hsa:2324', 'hsa:4804', 'hsa:5586', 'hsa:10681', 'hsa:2932', 'hsa:5594', 'hsa:6655', 'hsa:5595', 'hsa:898', 'hsa:595', 'hsa:2246', 'hsa:1386', 'hsa:7143', 'hsa:6794', 'hsa:1385', 'hsa:4602', 'hsa:6446', 'hsa:2309', 'hsa:894', 'hsa:3791', 'hsa:7533', 'hsa:468', 'hsa:3911', 'hsa:5894', 'hsa:5562', 'hsa:4193', 'hsa:7099', 'hsa:2247', 'hsa:1280', 'hsa:7157', 'hsa:207', 'hsa:4170', 'hsa:148327', 'hsa:9586', 'hsa:200186', 'hsa:64223', 'hsa:7423', 'hsa:2885', 'hsa:6256', 'hsa:1902', 'hsa:1290', 'hsa:1388']	42	['hsa:7248', 'hsa:7184', 'hsa:7529', 'hsa:64223', 'hsa:54541', 'hsa:1128', 'hsa:3575', 'hsa:5604', 'hsa:3667', 'hsa:7059', 'hsa:5747', 'hsa:7532', 'hsa:3643', 'hsa:598', 'hsa:5728', 'hsa:3913', 'hsa:5617', 'hsa:5970', 'hsa:7423', 'hsa:6199', 'hsa:2885', 'hsa:7058', 'hsa:6256', 'hsa:54331', 'hsa:2248', 'hsa:1282', 'hsa:1978', 'hsa:5649', 'hsa:3914', 'hsa:5154', 'hsa:1902', 'hsa:1290', 'hsa:1147', 'hsa:1388', 'hsa:5290', 'hsa:5585', 'hsa:3164', 'hsa:1026', 'hsa:5605', 'hsa:3791', 'hsa:7533', 'hsa:468', 'hsa:2258', 'hsa:1289', 'hsa:3911', 'hsa:5894', 'hsa:5562', 'hsa:842', 'hsa:1284', 'hsa:3679', 'hsa:4193', 'hsa:3915', 'hsa:9470', 'hsa:5879', 'hsa:1442', 'hsa:7099', 'hsa:4609', 'hsa:6194', 'hsa:5519', 'hsa:3685', 'hsa:2250', 'hsa:2247', 'hsa:1280', 'hsa:3695', 'hsa:3480', 'hsa:5170', 'hsa:7157', 'hsa:57521', 'hsa:1291', 'hsa:3454', 'hsa:1292', 'hsa:207', 'hsa:4170', 'hsa:148327', 'hsa:1944', 'hsa:56034', 'hsa:5295', 'hsa:9586', 'hsa:1956', 'hsa:3688', 'hsa:1977', 'hsa:5529', 'hsa:5578', 'hsa:90993', 'hsa:3455', 'hsa:29941', 'hsa:200186', 'hsa:2264', 'hsa:3678', 'hsa:572', 'hsa:3675', 'hsa:3674', 'hsa:672', 'hsa:2324', 'hsa:23035', 'hsa:3371', 'hsa:3909', 'hsa:3918', 'hsa:1301', 'hsa:1975', 'hsa:4804', 'hsa:5586', 'hsa:2263', 'hsa:5590', 'hsa:10681', 'hsa:5523', 'hsa:3566', 'hsa:5527', 'hsa:3320', 'hsa:2932', 'hsa:3693', 'hsa:3912', 'hsa:3326', 'hsa:5594', 'hsa:6655', 'hsa:5106', 'hsa:51378', 'hsa:284217', 'hsa:5595', 'hsa:7249', 'hsa:5934', 'hsa:3551', 'hsa:2997', 'hsa:898', 'hsa:11140', 'hsa:5518', 'hsa:1021', 'hsa:3696', 'hsa:4233', 'hsa:6009', 'hsa:10488', 'hsa:6198', 'hsa:1277', 'hsa:7531', 'hsa:4790', 'hsa:595', 'hsa:7450', 'hsa:1027', 'hsa:896', 'hsa:5528', 'hsa:7422', 'hsa:3910', 'hsa:2246', 'hsa:5159', 'hsa:6654', 'hsa:1386', 'hsa:7143', 'hsa:10000', 'hsa:8503', 'hsa:6794', 'hsa:1385', 'hsa:4602', 'hsa:6446', 'hsa:2309', 'hsa:894', 'hsa:5228']	156	26.923076923076923
Metabolism	Glycan biosynthesis and metabolism	hsa00531	  "Glycosaminoglycan degradation - Homo sapiens (human)"	19	['hsa:10855', 'hsa:8372']	2	['hsa:2990', 'hsa:2720', 'hsa:10855', 'hsa:8372', 'hsa:2588']	5	40.0
Environmental Information Processing	Signal transduction	hsa04010	  "MAPK signaling pathway - Homo sapiens (human)"	257	['hsa:6196', 'hsa:27330', 'hsa:4208', 'hsa:51701', 'hsa:7042', 'hsa:2872', 'hsa:5594', 'hsa:6655', 'hsa:9252', 'hsa:5595', 'hsa:11184', 'hsa:5608', 'hsa:9693', 'hsa:80824', 'hsa:1432', 'hsa:6722', 'hsa:2246', 'hsa:1386', 'hsa:7043', 'hsa:1846', 'hsa:2002', 'hsa:468', 'hsa:10912', 'hsa:3727', 'hsa:5894', 'hsa:408', 'hsa:2247', 'hsa:1848', 'hsa:7157', 'hsa:207', 'hsa:11221', 'hsa:2005', 'hsa:9261', 'hsa:836', 'hsa:783', 'hsa:2353', 'hsa:1649', 'hsa:3725', 'hsa:2885', 'hsa:5613', 'hsa:4908', 'hsa:4215', 'hsa:1616']	43	['hsa:836', 'hsa:783', 'hsa:5598', 'hsa:5871', 'hsa:5604', 'hsa:10746', 'hsa:2353', 'hsa:5970', 'hsa:3310', 'hsa:7189', 'hsa:1649', 'hsa:6197', 'hsa:3725', 'hsa:2885', 'hsa:5062', 'hsa:5613', 'hsa:1850', 'hsa:5600', 'hsa:4908', 'hsa:2248', 'hsa:6300', 'hsa:4763', 'hsa:2316', 'hsa:5154', 'hsa:4215', 'hsa:1616', 'hsa:3304', 'hsa:3303', 'hsa:1147', 'hsa:3164', 'hsa:4149', 'hsa:2002', 'hsa:5605', 'hsa:7186', 'hsa:468', 'hsa:2318', 'hsa:2258', 'hsa:51295', 'hsa:10912', 'hsa:3727', 'hsa:5894', 'hsa:22800', 'hsa:51347', 'hsa:6885', 'hsa:2317', 'hsa:5879', 'hsa:4609', 'hsa:408', 'hsa:5607', 'hsa:5495', 'hsa:2250', 'hsa:2247', 'hsa:5530', 'hsa:23162', 'hsa:1848', 'hsa:7157', 'hsa:207', 'hsa:11221', 'hsa:2768', 'hsa:1956', 'hsa:4915', 'hsa:5058', 'hsa:9344', 'hsa:5578', 'hsa:5922', 'hsa:55799', 'hsa:22808', 'hsa:2005', 'hsa:57551', 'hsa:2264', 'hsa:8986', 'hsa:9261', 'hsa:8913', 'hsa:5536', 'hsa:8491', 'hsa:355', 'hsa:5606', 'hsa:5601', 'hsa:5923', 'hsa:6416', 'hsa:2263', 'hsa:7132', 'hsa:998', 'hsa:6196', 'hsa:27330', 'hsa:4775', 'hsa:4791', 'hsa:4208', 'hsa:2122', 'hsa:4216', 'hsa:51701', 'hsa:8550', 'hsa:51776', 'hsa:7042', 'hsa:4214', 'hsa:4616', 'hsa:2872', 'hsa:1399', 'hsa:5594', 'hsa:10454', 'hsa:6655', 'hsa:9252', 'hsa:6789', 'hsa:994', 'hsa:5595', 'hsa:3551', 'hsa:11184', 'hsa:5971', 'hsa:7040', 'hsa:3315', 'hsa:7046', 'hsa:1326', 'hsa:1845', 'hsa:5608', 'hsa:4790', 'hsa:9693', 'hsa:80824', 'hsa:1432', 'hsa:6722', 'hsa:2246', 'hsa:5159', 'hsa:7867', 'hsa:7850', 'hsa:6654', 'hsa:1386', 'hsa:5321', 'hsa:10000', 'hsa:3925', 'hsa:6195', 'hsa:7043', 'hsa:1846', 'hsa:5533']	132	32.57575757575758
