Pathway identifier,Pathway name,# Entities found,# Entities total,Entities ratio,Entities pValue,Entities FDR,# Reactions found,# Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-168176,"Toll Like Receptor 5 (TLR5) Cascade",11,86,0.008437990580847723,0.4686392276300959,0.8379665767785973,25,51,0.0062271062271062275,48887,Homo sapiens,"ENSG00000100324;ENSG00000184216;ENSG00000109320;ENSG00000177189;ENSG00000108861;ENSG00000184216;ENSG00000108861;ENSG00000034152;ENSG00000135341;ENSG00000077150;ENSG00000166484;ENSG00000166484;ENSG00000177189;ENSG00000117676;ENSG00000034152;ENSG00000213341;ENSG00000117676;ENSG00000213341;ENSG00000109320;ENSG00000100324;ENSG00000077150;ENSG00000135341","Q15418;O43318;P51452;Q00653;P51812;P51617;Q13164;P19838;Q15750;P46734;O15111","R-HSA-450296;R-HSA-450337;R-HSA-168140;R-HSA-450346;R-HSA-199929;R-HSA-203797;R-HSA-168166;R-HSA-937044;R-HSA-975857;R-HSA-975874;R-HSA-937050;R-HSA-936991;R-HSA-975879;R-HSA-975878;R-HSA-199959;R-HSA-199895;R-HSA-936960;R-HSA-975852;R-HSA-975853;R-HSA-450333;R-HSA-198746;R-HSA-168184;R-HSA-937034;R-HSA-5609665;R-HSA-937032"
R-HSA-2173796,"SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription",5,38,0.003728414442700157,0.4871383138156069,0.8379665767785973,15,17,0.0020757020757020757,48887,Homo sapiens,"ENSG00000133895;ENSG00000112237;ENSG00000166949;ENSG00000157450;ENSG00000018408;ENSG00000112237;ENSG00000133895;ENSG00000157450;ENSG00000166949;ENSG00000018408","Q9GZV5;O00255;Q6ZNA4;P84022;P24863","R-HSA-1484099;R-HSA-2186643;R-HSA-173488;R-HSA-2127257;R-HSA-2187293;R-HSA-2186785;R-HSA-2106579;R-HSA-2187303;R-HSA-170847;R-HSA-2176475;R-HSA-2031355;R-HSA-2106586;R-HSA-2186771;R-HSA-2187309;R-HSA-2106591"
R-HSA-933542,"TRAF6 mediated NF-kB activation",4,30,0.0029434850863422294,0.4918165162555692,0.8379665767785973,4,4,4.884004884004884E-4,48887,Homo sapiens,"ENSG00000121060;ENSG00000109320;ENSG00000213341;ENSG00000213341;ENSG00000121060;ENSG00000109320;ENSG00000077150;ENSG00000077150","Q00653;P19838;Q14258;O15111","R-HSA-933528;R-HSA-933530;R-HSA-168166;R-HSA-168140"
R-HSA-390471,"Association of TriC/CCT with target proteins during biosynthesis",4,30,0.0029434850863422294,0.4918165162555692,0.8379665767785973,2,2,2.442002442002442E-4,48887,Homo sapiens,"ENSG00000115484;ENSG00000115484;ENSG00000005812;ENSG00000124198;ENSG00000137177;ENSG00000137177;ENSG00000124198;ENSG00000005812","Q9H1H9;Q9Y6D5;P50991;Q9UKT7","R-HSA-390470;R-HSA-391266"
R-HSA-975138,"TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation",11,88,0.008634222919937205,0.49864599460760006,0.8379665767785973,20,40,0.004884004884004884,48887,Homo sapiens,"ENSG00000100324;ENSG00000184216;ENSG00000109320;ENSG00000177189;ENSG00000108861;ENSG00000184216;ENSG00000108861;ENSG00000034152;ENSG00000135341;ENSG00000077150;ENSG00000166484;ENSG00000166484;ENSG00000177189;ENSG00000117676;ENSG00000034152;ENSG00000213341;ENSG00000117676;ENSG00000213341;ENSG00000109320;ENSG00000100324;ENSG00000077150;ENSG00000135341","Q15418;O43318;P51452;Q00653;P51812;P51617;Q13164;P19838;Q15750;P46734;O15111","R-HSA-975122;R-HSA-450296;R-HSA-168166;R-HSA-450337;R-HSA-168140;R-HSA-450346;R-HSA-199959;R-HSA-199895;R-HSA-975103;R-HSA-975139;R-HSA-975100;R-HSA-975097;R-HSA-975142;R-HSA-450333;R-HSA-199929;R-HSA-198746;R-HSA-975119;R-HSA-168184;R-HSA-203797;R-HSA-5609665"
R-HSA-2467813,"Separation of Sister Chromatids",22,179,0.017562794348508635,0.5009324349039487,0.8379665767785973,5,8,9.768009768009768E-4,48887,Homo sapiens,"ENSG00000095261;ENSG00000136930;ENSG00000102384;ENSG00000101843;ENSG00000100519;ENSG00000196510;ENSG00000100519;ENSG00000100902;ENSG00000002822;ENSG00000082898;ENSG00000169679;ENSG00000082898;ENSG00000136930;ENSG00000117399;ENSG00000099341;ENSG00000108344;ENSG00000185627;ENSG00000095261;ENSG00000169679;ENSG00000120253;ENSG00000008018;ENSG00000100902;ENSG00000163539;ENSG00000196510;ENSG00000002822;ENSG00000159352;ENSG00000159352;ENSG00000008018;ENSG00000099341;ENSG00000115233;ENSG00000102384;ENSG00000115233;ENSG00000092010;ENSG00000092010;ENSG00000117697;ENSG00000163539;ENSG00000129810;ENSG00000117697;ENSG00000120253;ENSG00000129810;ENSG00000117399;ENSG00000185627;ENSG00000108344;ENSG00000101843","Q9UJX3;P48556;O43242;Q9Y6D9;O43683;Q06323;Q12834;Q8NFH3;Q92674;O00487;Q99436;P20618;Q9UNM6;O75122;O14980;P55036;Q96IY1;P62333;P60900;Q5FBB7;O75832;Q16401","R-HSA-174121;R-HSA-174202;R-HSA-2467809;R-HSA-2467811;R-HSA-174144"
R-HSA-202670,"ERKs are inactivated",2,14,0.0013736263736263737,0.5053658347153658,0.8379665767785973,2,2,2.442002442002442E-4,48887,Homo sapiens,"ENSG00000166484;ENSG00000166484;ENSG00000108861;ENSG00000108861","P51452;Q13164","R-HSA-203797;R-HSA-199959"
R-HSA-75035,"Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex",2,14,0.0013736263736263737,0.5053658347153658,0.8379665767785973,3,5,6.105006105006105E-4,48887,Homo sapiens,"ENSG00000170312;ENSG00000175793;ENSG00000170312;ENSG00000175793","P31947;P06493","R-HSA-75016;R-HSA-75022;R-HSA-170070"
R-HSA-73942,"DNA Damage Reversal",2,14,0.0013736263736263737,0.5053658347153658,0.8379665767785973,6,14,0.0017094017094017094,48887,Homo sapiens,"ENSG00000100325;ENSG00000166199;ENSG00000100325;ENSG00000166199","Q9H1I8;Q96Q83","R-HSA-112124;R-HSA-5657637;R-HSA-112125;R-HSA-5657617;R-HSA-112123;R-HSA-5657642"
R-HSA-674695,"RNA Polymerase II Pre-transcription Events",8,64,0.006279434850863423,0.5118024669877596,0.8379665767785973,14,17,0.0020757020757020757,48887,Homo sapiens,"ENSG00000130699;ENSG00000185049;ENSG00000197265;ENSG00000165417;ENSG00000102978;ENSG00000106290;ENSG00000130699;ENSG00000197265;ENSG00000106290;ENSG00000102978;ENSG00000165417;ENSG00000011007;ENSG00000149136;ENSG00000149136;ENSG00000011007;ENSG00000185049","P49848;O00268;Q08945;P29084;Q14241;Q9H3P2;P52655;P19387","R-HSA-73946;R-HSA-113429;R-HSA-112429;R-HSA-112392;R-HSA-112395;R-HSA-75862;R-HSA-112437;R-HSA-112436;R-HSA-75856;R-HSA-75891;R-HSA-113413;R-HSA-113414;R-HSA-113409;R-HSA-113411"
R-HSA-173736,"Alternative complement activation",1,6,5.886970172684458E-4,0.5164816601472588,0.8379665767785973,9,9,0.001098901098901099,48887,Homo sapiens,"ENSG00000125730;ENSG00000125730","P01024","R-HSA-174551;R-HSA-173740;R-HSA-173754;R-HSA-173739;R-HSA-981539;R-HSA-183130;R-HSA-183126;R-HSA-183122;R-HSA-173745"
R-HSA-1296025,"ATP sensitive Potassium channels",1,6,5.886970172684458E-4,0.5164816601472588,0.8379665767785973,2,2,2.442002442002442E-4,48887,Homo sapiens,"ENSG00000121361;ENSG00000121361","Q15842","R-HSA-1296024;R-HSA-1369017"
R-HSA-5339717,"misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling",1,6,5.886970172684458E-4,0.5164816601472588,0.8379665767785973,1,1,1.221001221001221E-4,48887,Homo sapiens,"ENSG00000107984;ENSG00000107984","O94907","R-HSA-5339711"
R-HSA-2644605,"FBXW7 Mutants and NOTCH1 in Cancer",1,6,5.886970172684458E-4,0.5164816601472588,0.8379665767785973,1,1,1.221001221001221E-4,48887,Homo sapiens,"ENSG00000113558;ENSG00000113558","P63208","R-HSA-2220978"
R-HSA-2644607,"Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling",1,6,5.886970172684458E-4,0.5164816601472588,0.8379665767785973,1,1,1.221001221001221E-4,48887,Homo sapiens,"ENSG00000113558;ENSG00000113558","P63208","R-HSA-2220978"
R-HSA-75072,"mRNA Editing",1,6,5.886970172684458E-4,0.5164816601472588,0.8379665767785973,3,9,0.001098901098901099,48887,Homo sapiens,"ENSG00000197381;ENSG00000197381","P78563","R-HSA-77615;R-HSA-111238;R-HSA-77613"
R-HSA-75157,"FasL/ CD95L signaling",1,6,5.886970172684458E-4,0.5164816601472588,0.8379665767785973,1,5,6.105006105006105E-4,48887,Homo sapiens,"ENSG00000064012;ENSG00000064012","Q14790","R-HSA-83586"
R-HSA-76003,"Presynaptic phase of homologous DNA pairing and strand exchange",1,6,5.886970172684458E-4,0.5164816601472588,0.8379665767785973,1,7,8.547008547008547E-4,48887,Homo sapiens,"ENSG00000139618;ENSG00000139618","P51587","R-HSA-83648"
R-HSA-4086400,"PCP/CE pathway",12,98,0.009615384615384616,0.5234073301533418,0.8379665767785973,1,24,0.0029304029304029304,48887,Homo sapiens,"ENSG00000136930;ENSG00000095261;ENSG00000159352;ENSG00000101843;ENSG00000008018;ENSG00000100519;ENSG00000115233;ENSG00000099341;ENSG00000115233;ENSG00000100519;ENSG00000100902;ENSG00000092010;ENSG00000092010;ENSG00000099341;ENSG00000136930;ENSG00000185627;ENSG00000108344;ENSG00000095261;ENSG00000008018;ENSG00000100902;ENSG00000185627;ENSG00000108344;ENSG00000101843;ENSG00000159352","P20618;P48556;O43242;Q9UNM6;Q06323;P55036;P62333;P60900;O75832;O00487;Q16401;Q99436","R-HSA-4608855"
R-HSA-166054,"Activated TLR4 signalling",15,123,0.012068288854003139,0.5238313893110083,0.8379665767785973,35,78,0.009523809523809525,48887,Homo sapiens,"ENSG00000110330;ENSG00000100324;ENSG00000109320;ENSG00000184216;ENSG00000110330;ENSG00000177189;ENSG00000184216;ENSG00000034152;ENSG00000077150;ENSG00000135341;ENSG00000179295;ENSG00000166484;ENSG00000177189;ENSG00000034152;ENSG00000213341;ENSG00000064012;ENSG00000109320;ENSG00000100324;ENSG00000135341;ENSG00000143466;ENSG00000108861;ENSG00000108861;ENSG00000179295;ENSG00000166484;ENSG00000117676;ENSG00000064012;ENSG00000117676;ENSG00000213341;ENSG00000077150","P51452;P51812;Q14790;Q14164;Q15750;P19838;Q13164;O15111;Q15418;O43318;Q13490;Q00653;P51617;Q06124;P46734","R-HSA-2562564;R-HSA-450296;R-HSA-450337;R-HSA-937075;R-HSA-168140;R-HSA-166245;R-HSA-450346;R-HSA-2562541;R-HSA-166271;R-HSA-166119;R-HSA-199929;R-HSA-203797;R-HSA-168915;R-HSA-168166;R-HSA-937044;R-HSA-937050;R-HSA-166284;R-HSA-936991;R-HSA-936941;R-HSA-199959;R-HSA-166286;R-HSA-199895;R-HSA-936947;R-HSA-937029;R-HSA-936960;R-HSA-936951;R-HSA-450333;R-HSA-198746;R-HSA-166091;R-HSA-168184;R-HSA-937034;R-HSA-166362;R-HSA-5609665;R-HSA-937032;R-HSA-166363"
R-HSA-2564830,"Cytosolic iron-sulfur cluster assembly",3,23,0.0022566718995290424,0.5271113884372898,0.8379665767785973,3,3,3.663003663003663E-4,48887,Homo sapiens,"ENSG00000188566;ENSG00000144021;ENSG00000144021;ENSG00000166595;ENSG00000166595;ENSG00000188566","Q9UHB4;Q9Y3D0;O76071","R-HSA-2564826;R-HSA-2564824;R-HSA-2564828"
R-HSA-73980,"RNA Polymerase III Transcription Termination",3,23,0.0022566718995290424,0.5271113884372898,0.8379665767785973,2,2,2.442002442002442E-4,48887,Homo sapiens,"ENSG00000168495;ENSG00000121851;ENSG00000161980;ENSG00000161980;ENSG00000168495;ENSG00000121851","Q9Y2Y1;Q9BT43;P05423","R-HSA-113454;R-HSA-113449"
R-HSA-156711,"Polo-like kinase mediated events",3,23,0.0022566718995290424,0.5271113884372898,0.8379665767785973,12,15,0.0018315018315018315,48887,Homo sapiens,"ENSG00000162521;ENSG00000101057;ENSG00000111206;ENSG00000101057;ENSG00000162521;ENSG00000111206","Q09028;P10244;Q08050","R-HSA-4088305;R-HSA-4088306;R-HSA-4088152;R-HSA-4088307;R-HSA-4088309;R-HSA-4088441;R-HSA-4088439;R-HSA-4088130;R-HSA-4088162;R-HSA-4088299;R-HSA-4088298;R-HSA-4088134"
R-HSA-4419969,"Depolymerisation of the Nuclear Lamina",3,23,0.0022566718995290424,0.5271113884372898,0.8379665767785973,3,6,7.326007326007326E-4,48887,Homo sapiens,"ENSG00000160789;ENSG00000170312;ENSG00000170312;ENSG00000160789","P02545-1;P02545-2;P06493","R-HSA-5244669;R-HSA-5229194;R-HSA-5195402"
R-HSA-181429,"Serotonin Neurotransmitter Release Cycle",3,23,0.0022566718995290424,0.5271113884372898,0.8379665767785973,2,4,4.884004884004884E-4,48887,Homo sapiens,"ENSG00000132639;ENSG00000143847;ENSG00000198722;ENSG00000143847;ENSG00000198722;ENSG00000132639","O75335;P60880;O14795","R-HSA-380905;R-HSA-380901"
R-HSA-975155,"MyD88 dependent cascade initiated on endosome",11,90,0.008830455259026688,0.5282124155804788,0.8379665767785973,28,55,0.006715506715506716,48887,Homo sapiens,"ENSG00000100324;ENSG00000184216;ENSG00000109320;ENSG00000177189;ENSG00000108861;ENSG00000184216;ENSG00000108861;ENSG00000034152;ENSG00000135341;ENSG00000077150;ENSG00000166484;ENSG00000166484;ENSG00000177189;ENSG00000117676;ENSG00000034152;ENSG00000213341;ENSG00000117676;ENSG00000213341;ENSG00000109320;ENSG00000100324;ENSG00000077150;ENSG00000135341","Q15418;O43318;P51452;Q00653;P51812;P51617;Q13164;P19838;Q15750;P46734;O15111","R-HSA-450296;R-HSA-450337;R-HSA-168140;R-HSA-450346;R-HSA-975103;R-HSA-975139;R-HSA-975100;R-HSA-975097;R-HSA-975142;R-HSA-199929;R-HSA-203797;R-HSA-975122;R-HSA-168166;R-HSA-975188;R-HSA-975125;R-HSA-975134;R-HSA-199959;R-HSA-199895;R-HSA-975106;R-HSA-975111;R-HSA-975115;R-HSA-450333;R-HSA-975180;R-HSA-975119;R-HSA-198746;R-HSA-168184;R-HSA-975118;R-HSA-5609665"
R-HSA-168181,"Toll Like Receptor 7/8 (TLR7/8) Cascade",11,90,0.008830455259026688,0.5282124155804788,0.8379665767785973,28,56,0.006837606837606838,48887,Homo sapiens,"ENSG00000100324;ENSG00000184216;ENSG00000109320;ENSG00000177189;ENSG00000108861;ENSG00000184216;ENSG00000108861;ENSG00000034152;ENSG00000135341;ENSG00000077150;ENSG00000166484;ENSG00000166484;ENSG00000177189;ENSG00000117676;ENSG00000034152;ENSG00000213341;ENSG00000117676;ENSG00000213341;ENSG00000109320;ENSG00000100324;ENSG00000077150;ENSG00000135341","Q15418;O43318;P51452;Q00653;P51812;P51617;Q13164;P19838;Q15750;P46734;O15111","R-HSA-450296;R-HSA-450337;R-HSA-168140;R-HSA-450346;R-HSA-975103;R-HSA-975139;R-HSA-975100;R-HSA-975097;R-HSA-975142;R-HSA-199929;R-HSA-203797;R-HSA-975122;R-HSA-168166;R-HSA-975188;R-HSA-975125;R-HSA-975134;R-HSA-199959;R-HSA-199895;R-HSA-975106;R-HSA-975111;R-HSA-975115;R-HSA-450333;R-HSA-975180;R-HSA-975119;R-HSA-198746;R-HSA-168184;R-HSA-975118;R-HSA-5609665"
R-HSA-167287,"HIV elongation arrest and recovery",4,32,0.0031397174254317113,0.5418941302184502,0.8379665767785973,3,3,3.663003663003663E-4,48887,Homo sapiens,"ENSG00000185049;ENSG00000102978;ENSG00000011007;ENSG00000149136;ENSG00000149136;ENSG00000011007;ENSG00000102978;ENSG00000185049","Q08945;Q14241;Q9H3P2;P19387","R-HSA-167284;R-HSA-167481;R-HSA-167288"
R-HSA-167243,"Tat-mediated HIV elongation arrest and recovery",4,32,0.0031397174254317113,0.5418941302184502,0.8379665767785973,3,3,3.663003663003663E-4,48887,Homo sapiens,"ENSG00000185049;ENSG00000102978;ENSG00000011007;ENSG00000149136;ENSG00000149136;ENSG00000011007;ENSG00000102978;ENSG00000185049","Q08945;Q14241;Q9H3P2;P19387","R-HSA-167148;R-HSA-167459;R-HSA-167090"
R-HSA-167238,"Pausing and recovery of Tat-mediated HIV elongation",4,32,0.0031397174254317113,0.5418941302184502,0.8379665767785973,2,2,2.442002442002442E-4,48887,Homo sapiens,"ENSG00000185049;ENSG00000102978;ENSG00000011007;ENSG00000149136;ENSG00000149136;ENSG00000011007;ENSG00000102978;ENSG00000185049","Q08945;Q14241;Q9H3P2;P19387","R-HSA-167150;R-HSA-167076"
R-HSA-167290,"Pausing and recovery of HIV elongation",4,32,0.0031397174254317113,0.5418941302184502,0.8379665767785973,2,2,2.442002442002442E-4,48887,Homo sapiens,"ENSG00000185049;ENSG00000102978;ENSG00000011007;ENSG00000149136;ENSG00000149136;ENSG00000011007;ENSG00000102978;ENSG00000185049","Q08945;Q14241;Q9H3P2;P19387","R-HSA-167282;R-HSA-167292"
R-HSA-2514853,"Condensation of Prometaphase Chromosomes",2,15,0.0014717425431711147,0.5421228044596079,0.8379665767785973,4,4,4.884004884004884E-4,48887,Homo sapiens,"ENSG00000113810;ENSG00000170312;ENSG00000170312;ENSG00000113810","P06493;Q9NTJ3","R-HSA-2514854;R-HSA-2529020;R-HSA-2520883;R-HSA-2529015"
R-HSA-162592,"Integration of provirus",2,15,0.0014717425431711147,0.5421228044596079,0.8379665767785973,11,13,0.0015873015873015873,48887,Homo sapiens,"ENSG00000114030;ENSG00000114030;ENSG00000175334;ENSG00000175334","P52294;O75531","R-HSA-175174;R-HSA-175108;R-HSA-164514;R-HSA-173115;R-HSA-175250;R-HSA-164506;R-HSA-162590;R-HSA-175117;R-HSA-164845;R-HSA-164523;R-HSA-164522"
R-HSA-209560,"NF-kB is activated and signals survival",2,15,0.0014717425431711147,0.5421228044596079,0.8379665767785973,3,4,4.884004884004884E-4,48887,Homo sapiens,"ENSG00000109320;ENSG00000184216;ENSG00000184216;ENSG00000109320","P51617;P19838","R-HSA-193691;R-HSA-193705;R-HSA-193703"
R-HSA-391251,"Protein folding",7,58,0.005690737833594976,0.554050296643551,0.8379665767785973,11,17,0.0020757020757020757,48887,Homo sapiens,"ENSG00000143256;ENSG00000115484;ENSG00000115484;ENSG00000005812;ENSG00000137177;ENSG00000124198;ENSG00000213465;ENSG00000213465;ENSG00000124198;ENSG00000005812;ENSG00000143256;ENSG00000105254;ENSG00000137177;ENSG00000105254","Q9UHV9;P36404;Q9H1H9;Q99426;Q9Y6D5;P50991;Q9UKT7","R-HSA-389961;R-HSA-390470;R-HSA-389963;R-HSA-389980;R-HSA-390453;R-HSA-390459;R-HSA-389969;R-HSA-389954;R-HSA-389970;R-HSA-389972;R-HSA-391266"
R-HSA-5620922,"BBSome-mediated cargo-targeting to cilium",3,24,0.002354788069073783,0.5556261298784505,0.8379665767785973,5,5,6.105006105006105E-4,48887,Homo sapiens,"ENSG00000140463;ENSG00000115484;ENSG00000115484;ENSG00000113966;ENSG00000113966;ENSG00000140463","Q96RK4;Q9H0F7;P50991","R-HSA-5624129;R-HSA-5624126;R-HSA-5624127;R-HSA-5624125;R-HSA-5617815"
R-HSA-912631,"Regulation of signaling by CBL",3,24,0.002354788069073783,0.5556261298784505,0.8379665767785973,5,7,8.547008547008547E-4,48887,Homo sapiens,"ENSG00000141968;ENSG00000117461;ENSG00000107263;ENSG00000117461;ENSG00000141968;ENSG00000107263","Q13905;Q92569;P15498","R-HSA-912629;R-HSA-912734;R-HSA-912627;R-HSA-912727;R-HSA-879917"
R-HSA-73887,"Death Receptor Signalling",3,24,0.002354788069073783,0.5556261298784505,0.8379665767785973,9,17,0.0020757020757020757,48887,Homo sapiens,"ENSG00000156735;ENSG00000064012;ENSG00000104689;ENSG00000104689;ENSG00000064012;ENSG00000156735","Q14790;O95429;O00220","R-HSA-75187;R-HSA-75238;R-HSA-83586;R-HSA-141316;R-HSA-141139;R-HSA-83660;R-HSA-75146;R-HSA-75240;R-HSA-3371353"
R-HSA-450321,"JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1",3,24,0.002354788069073783,0.5556261298784505,0.8379665767785973,1,3,3.663003663003663E-4,48887,Homo sapiens,"ENSG00000100324;ENSG00000184216;ENSG00000184216;ENSG00000135341;ENSG00000100324;ENSG00000135341","O43318;P51617;Q15750","R-HSA-450337"
R-HSA-73886,"Chromosome Maintenance",12,101,0.009909733124018839,0.5649696897279683,0.8379665767785973,10,27,0.0032967032967032967,48887,Homo sapiens,"ENSG00000102384;ENSG00000141499;ENSG00000177084;ENSG00000153147;ENSG00000132604;ENSG00000177084;ENSG00000101868;ENSG00000102384;ENSG00000123485;ENSG00000153147;ENSG00000175792;ENSG00000123485;ENSG00000162521;ENSG00000141499;ENSG00000162521;ENSG00000145912;ENSG00000183207;ENSG00000128513;ENSG00000128513;ENSG00000132604;ENSG00000101868;ENSG00000175792;ENSG00000145912;ENSG00000183207","Q07864;Q09028;Q15554;Q9NX24;Q8NCD3;Q9BUR4;Q9NUX5;P09884;Q9Y230;Q9Y265;O60264;Q92674","R-HSA-181450;R-HSA-176700;R-HSA-164616;R-HSA-174427;R-HSA-174425;R-HSA-606287;R-HSA-606349;R-HSA-606289;R-HSA-174452;R-HSA-606326"
R-HSA-5601884,"PIWI-interacting RNA (piRNA) biogenesis",4,33,0.003237833594976452,0.5659633889202657,0.8379665767785973,14,16,0.0019536019536019536,48887,Homo sapiens,"ENSG00000182134;ENSG00000154438;ENSG00000102978;ENSG00000080824;ENSG00000182134;ENSG00000080824;ENSG00000102978;ENSG00000154438","P07900;Q8WWH4;Q9Y2W6;P19387","R-HSA-5601919;R-HSA-5601922;R-HSA-5603067;R-HSA-5601926;R-HSA-5601897;R-HSA-5601883;R-HSA-5615682;R-HSA-5629237;R-HSA-5601910;R-HSA-5603062;R-HSA-5601929;R-HSA-5629203;R-HSA-5629218;R-HSA-5601888"
R-HSA-168138,"Toll Like Receptor 9 (TLR9) Cascade",11,93,0.009124803767660911,0.5714305261529273,0.8379665767785973,28,59,0.007203907203907204,48887,Homo sapiens,"ENSG00000100324;ENSG00000184216;ENSG00000109320;ENSG00000177189;ENSG00000108861;ENSG00000184216;ENSG00000108861;ENSG00000034152;ENSG00000135341;ENSG00000077150;ENSG00000166484;ENSG00000166484;ENSG00000177189;ENSG00000117676;ENSG00000034152;ENSG00000213341;ENSG00000117676;ENSG00000213341;ENSG00000109320;ENSG00000100324;ENSG00000077150;ENSG00000135341","Q15418;O43318;P51452;Q00653;P51812;P51617;Q13164;P19838;Q15750;P46734;O15111","R-HSA-450296;R-HSA-450337;R-HSA-168140;R-HSA-450346;R-HSA-975103;R-HSA-975139;R-HSA-975100;R-HSA-975097;R-HSA-975142;R-HSA-199929;R-HSA-203797;R-HSA-975122;R-HSA-168166;R-HSA-975188;R-HSA-975125;R-HSA-975134;R-HSA-199959;R-HSA-199895;R-HSA-975106;R-HSA-975111;R-HSA-975115;R-HSA-450333;R-HSA-975180;R-HSA-975119;R-HSA-198746;R-HSA-168184;R-HSA-975118;R-HSA-5609665"
R-HSA-111461,"Cytochrome c-mediated apoptotic response",1,7,6.868131868131869E-4,0.5716517098880953,0.8379665767785973,5,5,6.105006105006105E-4,48887,Homo sapiens,"ENSG00000120868;ENSG00000120868","O14727","R-HSA-114259;R-HSA-114256;R-HSA-114261;R-HSA-114254;R-HSA-114252"
R-HSA-174577,"Activation of C3 and C5",1,7,6.868131868131869E-4,0.5716517098880953,0.8379665767785973,3,3,3.663003663003663E-4,48887,Homo sapiens,"ENSG00000125730;ENSG00000125730","P01024","R-HSA-173680;R-HSA-173636;R-HSA-166817"
R-HSA-74713,"IRS activation",1,7,6.868131868131869E-4,0.5716517098880953,0.8379665767785973,3,3,3.663003663003663E-4,48887,Homo sapiens,"ENSG00000169047;ENSG00000169047","P35568","R-HSA-74712;R-HSA-74707;R-HSA-74711"
R-HSA-69478,"G2/M DNA replication checkpoint",1,7,6.868131868131869E-4,0.5716517098880953,0.8379665767785973,2,2,2.442002442002442E-4,48887,Homo sapiens,"ENSG00000170312;ENSG00000170312","P06493","R-HSA-170055;R-HSA-170070"
R-HSA-111459,"Activation of caspases through apoptosome-mediated cleavage",1,7,6.868131868131869E-4,0.5716517098880953,0.8379665767785973,2,2,2.442002442002442E-4,48887,Homo sapiens,"ENSG00000120868;ENSG00000120868","O14727","R-HSA-114261;R-HSA-114252"
R-HSA-68911,"G2 Phase",1,7,6.868131868131869E-4,0.5716517098880953,0.8379665767785973,2,2,2.442002442002442E-4,48887,Homo sapiens,"ENSG00000112242;ENSG00000112242","O00716","R-HSA-187937;R-HSA-187959"
R-HSA-5250971,"Toxicity of botulinum toxin type C (BoNT/C)",1,7,6.868131868131869E-4,0.5716517098880953,0.8379665767785973,1,5,6.105006105006105E-4,48887,Homo sapiens,"ENSG00000132639;ENSG00000132639","P60880","R-HSA-194793"
R-HSA-749476,"RNA Polymerase III Abortive And Retractive Initiation",5,42,0.004120879120879121,0.5747073527535334,0.8379665767785973,13,13,0.0015873015873015873,48887,Homo sapiens,"ENSG00000168495;ENSG00000145734;ENSG00000104976;ENSG00000121851;ENSG00000104976;ENSG00000161980;ENSG00000161980;ENSG00000168495;ENSG00000121851","Q9Y2Y1;A6H8Y1;Q9BT43;Q13487;P05423","R-HSA-113454;R-HSA-112150;R-HSA-112149;R-HSA-113449;R-HSA-113705;R-HSA-112156;R-HSA-112054;R-HSA-113442;R-HSA-76060;R-HSA-112155;R-HSA-112055;R-HSA-112153;R-HSA-112152"
R-HSA-69231,"Cyclin D associated events in G1",5,42,0.004120879120879121,0.5747073527535334,0.8379665767785973,10,11,0.001343101343101343,48887,Homo sapiens,"ENSG00000105810;ENSG00000103479;ENSG00000113558;ENSG00000112242;ENSG00000111276;ENSG00000105810;ENSG00000103479;ENSG00000113558;ENSG00000112242;ENSG00000111276","Q08999;P63208;Q00534;P46527;O00716","R-HSA-69227;R-HSA-141299;R-HSA-69213;R-HSA-1363328;R-HSA-1226094;R-HSA-1363276;R-HSA-1226095;R-HSA-182594;R-HSA-1363331;R-HSA-69223"
R-HSA-69236,"G1 Phase",5,42,0.004120879120879121,0.5747073527535334,0.8379665767785973,10,11,0.001343101343101343,48887,Homo sapiens,"ENSG00000105810;ENSG00000103479;ENSG00000113558;ENSG00000112242;ENSG00000111276;ENSG00000105810;ENSG00000103479;ENSG00000113558;ENSG00000112242;ENSG00000111276","Q08999;P63208;Q00534;P46527;O00716","R-HSA-69227;R-HSA-141299;R-HSA-69213;R-HSA-1363328;R-HSA-1226094;R-HSA-1363276;R-HSA-1226095;R-HSA-182594;R-HSA-1363331;R-HSA-69223"
R-HSA-74158,"RNA Polymerase III Transcription",5,42,0.004120879120879121,0.5747073527535334,0.8379665767785973,22,25,0.0030525030525030525,48887,Homo sapiens,"ENSG00000168495;ENSG00000145734;ENSG00000104976;ENSG00000121851;ENSG00000104976;ENSG00000161980;ENSG00000161980;ENSG00000168495;ENSG00000121851","Q9Y2Y1;A6H8Y1;Q9BT43;Q13487;P05423","R-HSA-83791;R-HSA-83723;R-HSA-83790;R-HSA-112150;R-HSA-112149;R-HSA-76056;R-HSA-113705;R-HSA-112156;R-HSA-112155;R-HSA-76060;R-HSA-112153;R-HSA-112152;R-HSA-113454;R-HSA-83805;R-HSA-113451;R-HSA-83803;R-HSA-113449;R-HSA-113446;R-HSA-112054;R-HSA-113442;R-HSA-112055;R-HSA-83793"
